,company_name,model,price,status,body_type,fuel_type,engine_desc,fuel_system,cooling,displacement,max_power,max_torque,cylinders_count,overall_lenght,overall_width,overall_height,seat_height,ground_clearance,wheelbase,kerb_wet,fuel_tank,bore,stroke,gears_count,clutch,gearbox,front_brake,rear_brake,front_suspension,rear_suspension,zero_cent,speedometer,tachometer,trip_meter,clock,electric_start
131,Ducati,Ducati Scrambler,"
₹ 5,75,000 - ₹ 12,37,000
",available,Naked,Petrol,"L-Twin, Desmodromic distribution, 2 valves per cylinder, air cooled",Electronic fuel injection,Air,803 cc,73 HP @ 8250 rpm,67 Nm @ 5750 rpm,2,2100-2165 mm,845 mm,1150 mm,790 mm,NaN,1445 mm,192.5 kg,13.5 litres,88 mm,66 mm,6,APTC wet multiplate with mechanical control,NaN,"330 mm disc, radial 4-piston calliper with ABS as standard equipment","245 mm disc, 1-piston floating calliper with ABS as standard equipment",Upside down Kayaba 41 mm fork,"Kayaba rear shock, pre-load adjustable",NaN,1,1,1,1,NaN
132,Ducati,Ducati Superbike,"
₹ 13,00,000 - ₹ 14,00,000
",available,Sports,Petrol,"937cc, L-Twin Cylinder, Liquid Cooling","Continental Electronic Fuel Injection System, 53 mm Mikuni Throttle Bodies with Full Ride-By-Wire",Liquid cooling,937 cc,"110 HP @ 9,000 rpm","93 NM @ 6,500 rpm",NaN,2070 mm,750 mm,1150 mm,810 mm,NaN,1478 mm,210 kg,16 litres,94 mm,67.5 mm,6 Speed,"Wet Multiplate Clutch Mechanically Operated, Self-Servo Action on Drive, Slipper Action on Over-Run",NaN,"320 mm Twin Semi-Floating Discs, Radially Mounted Monobloc Brembo M4-32 Callipers, 4-Piston, Radial Pump with ABS as Standard","245 mm Disc, 2-Piston Caliper, ABS as Standard",Fully Adjustable 43mm (1.7 in) USD Marzocchi Forks,Progressive Linkage with Adjustable Sachs Monoshock. Aluminium Single-Sided Swingarm,NaN,Digital,Digital,Digital,Digital,1
133,Ducati,Ducati Superleggera,"
₹ 112,20,000
",available,Sports,Petrol,"Superquadro: L-twin cylinder, 4 valve per cylinder, Desmodromic, liquid cooled",Mitsubishi electronic fuel injection system. Twin injectors per cylinder. Full Ride-by-Wire elliptical throttle bodies with aerodynamic valve and optimized trumpets,Liquid-Cooled,1285 cc,"215 HP @ 11,000 rpm","146.5 NM @ 9,000 rpm",2,NaN,NaN,NaN,830 mm,NaN,1456 mm,167 kg,17 litres,116 mm,60.8 mm,6,Hydraulically controlled slipper/self-servo wet multiplate clutch,NaN,"2 x 330 mm semi-floating discs, radially mounted Brembo Monobloc Evo M50 4-piston callipers with Cornering ABS, Brembo MCS 19-21 adjustable-ratio front brake master cylinder, remote lever adjuster","245 mm disc, 2-piston calliper with Cornering ABS","Fully adjustable 43mm USD Öhlins FL 936 fork with TiN treatment, billet fork bottoms and lightweight stress-optimized outer tubes, lightweight springs","Fully adjustable single Öhlins TTX36 shock with titanium spring, adjustable linkage between progressive/flat. Carbon fiber single-sided swingarm",NaN,Digital,Digital,Digital,Digital,1
134,Ducati,Ducati XDiavel,"
₹ 17,50,000 - ₹ 20,15,000
",available,Cruiser,Petrol,"1262cc, L-Twin Cylinder, Liquid Cooling","Bosch Fuel Injection System, Full Ride-By-Wire System, Øeq 56 Oval Throttle Bodies",Liquid Cooling,1262 cc,152 HP @ 9500 rpm,126 NM @ 5000 rpm,2,2310 mm,1010 mm,1133 mm,755 mm,NaN,1615 mm,247 kg,18 litres,106 mm,71.5 mm,6 Speed,Slipper and Self-Servo Wet Multiplate Clutch with Hydraulic Control,NaN,"320 mm Twin Semifloating Discs, Radial Brembo Monobloc 4-Piston M4-32 Callipers and Radial Master Cylinder, Bosch Cornering ABS as Standard Equipment","265 mm Disc, 2-Piston Floating Calliper, Bosch cornering ABS as Standard Equipment",Adjustable Ø 50 mm USD Fork,"Single Shock Absorber, Adjustable Preload and Rebound, Remote Reservoir, Single Sided Swingarm, Cast/Trellis Frame",NaN,Digital,Digital,Digital,Digital,1
135,Ducati,Ducati Desmosedici,"
NA
",discontinued,Sports,NaN,989cc,NaN,Liquid Cooling,989 cc,200 Bhp @ 13800 rpm,118 Nm @ 10500 rpm,NaN,NaN,NaN,NaN,NaN,NaN,1430.00 mm,NaN,NaN,86 mm,42.56 mm,6 Speed,NaN,NaN,Liquid Cooling,240mm fixed disc,NaN,NaN,NaN,Digital,Analogue,Digital-1,NaN,1
136,Ducati,Ducati Diavel (2013),"
₹ 23,13,000 - ₹ 25,98,000
",discontinued,Naked,Petrol,"1198cc, 11° V-Twin",NaN,Liquid Cooling,1198.4 cc,159.5 Bhp (162 Hp) @ 9250 rpm,130.5 Nm @ 8000 rpm,2,NaN,NaN,NaN,NaN,130.00 mm,1590.00 mm,234 kg,17.00 litres,106 mm,67.9 mm,6,Not Announced,NaN,320mm Twin Discs,265mm Disc,-Marzocchi DLC coated 50mm fully adjustable usd forks,Aluminium single-sided swingarm,2.50 secs,Digital,Digital,Digital-2,NaN,1
137,Ducati,Ducati Diavel (2016),"
₹ 37,30,000
",discontinued,Naked,Petrol,"Testastretta 11° L-Twin, 4 Desmodromically actuated valves per cylinder, liquid cooled","Electronic fuel injection, elliptical throttle bodies, fully ride-by-wire controlled",NaN,1198.4 cc,"159.78 BHP @ 9,250 rpm","130.5 NM @ 8,000 rpm",2,2235 mm,860 mm,1192 mm,770 mm,NaN,1590 mm,234 kg,17 litres,106 mm,67.9 mm,6,Slipper and self-servo wet multiplate clutch with hydraulic control,NaN,"2 x 320 mm semi-floating discs, radially attached Brembo Monobloc 4-piston callipers with ABS as standard equipment","265mm disc, 2-piston floating calliper ABS as standard equipment",Marzocchi fully adjustable 50 mm usd fork with DLC-treatment,Fully adjustable rear shock with progressive linkage. Remote spring preload adjustment. Single-sided aluminium swingarm,NaN,Digital,Digital,Digital,Digital,1
138,Ducati,Ducati GT,"
NA
",discontinued,Sports,NaN,"992cc, L-Twin",NaN,Air Cooling,992 cc,92 Bhp @ 8000 rpm,93 Nm @ 6000 rpm,2,NaN,NaN,NaN,NaN,NaN,1425.00 mm,185.00 kg,15.00 litres,94 mm,71.5 mm,6 Manual,Wet multiplate with hydraulic control,NaN,"2 x 320 mm semi-floating discs, floating caliper 2","245 mm disc, 1-piston floating caliper, 2- sintere",43 mm upside-down fork,Twin preload adjustable shock absorbers,NaN,Analogue,Analogue,Analogue-2,NaN,1
139,Ducati,Ducati Hypermotard (2010),"
₹ 12,22,000 - ₹ 17,99,000
",discontinued,Adventure,Petrol,L-Twin,NaN,Liquid Cooling,1078 cc,90 Bhp @ 7750 rpm,105 Nm @ 4750 rpm,2,NaN,NaN,NaN,NaN,NaN,1455.00 mm,179.00 kg,12.40 litres,98 mm,71.5 mm,6,NaN,NaN,Liquid Cooling,"245 mm disc, 2-piston caliper",Marzocchi 50mm fully adjustable upside-down fork,Progressive linkage with fully adjustable Sachs monoshock,NaN,Digital,Analogue,Digital-1,NaN,1
140,Ducati,Ducati Hypermotard (2016),"
₹ 10,26,000 - ₹ 19,60,000
",discontinued,Adventure,Petrol,"Testastretta 11°, L-Twin",NaN,Liquid Cooling,821.1 cc,108.6 Bhp (110 Hp) @ 9250 rpm,89 Nm @ 7750 rpm,2,NaN,NaN,NaN,NaN,NaN,1490 mm,204 kg,16 litres,88 mm,67.5 mm,6,Wet multiplate clutch,NaN,320mm Twin Discs,245mm Disc,43mm usd forks,Progressive linkage,NaN,Digital,Digital,Digital-2,NaN,1
141,Ducati,Ducati Monster (2010),"
₹ 7,99,417 - ₹ 13,60,000
",discontinued,Naked,NaN,695cc,NaN,Liquid Cooling,695 cc,73 Bhp @ 8500 rpm,6.2 kgm @ 6750 rpm,NaN,NaN,NaN,NaN,NaN,NaN,1440.00 mm,168.00 kg,14.00 litres,88 mm,57.2 mm,6 Speed,APTC wet multiplate with hydraulic control,NaN,Liquid Cooling,"245 mm disc, 2-piston caliper",Marzocchi 43 mm upside-down fork,Progressive linkage with preload and rebound Sachs adjustable monoshock,NaN,Digital,Analogue,Digital-1,NaN,1
142,Ducati,Ducati Multistrada (2010),"
₹ 22,22,000 - ₹ 25,79,000
",discontinued,Sports,NaN,1078cc,NaN,Liquid Cooling,1078 cc,95 Bhp @ 7750 rpm,103 Nm @ 4750 rpm,NaN,NaN,NaN,NaN,NaN,NaN,1462.00 mm,196.00 kg,20.00 litres,98 mm,71.5 mm,6 Speed,NaN,NaN,Liquid Cooling,245 mm Disc,Marzocchi 43 mm fully adjustable upside-down fork,Progressive linkage with fully adjustable Sachs monoshock; hydraulic remote pre-load control. Aluminium single-sided swingarm,NaN,Digital,Analogue,Digital-1,NaN,1
143,Ducati,Ducati Panigale (2016),"
₹ 13,10,000 - ₹ 50,37,000
",discontinued,Superbike,Petrol,"Superquadro: L-twin cylinder, 4 valve per cylinder, Desmodromic, Liquid cooled",NaN,Liquid Cooling,898 cc,146.1 Bhp @ 10750 rpm,99 Nm @ 9000 rpm,2,2075 mm,NaN,1100 mm,NaN,NaN,1426 mm,193 kg,17 litres,100 mm,57.2 mm,6,Wet multiplate clutch with hydraulic control,NaN,"2 x 320 mm semi-floating discs, radially mounted Brembo Monobloc M4.32 4-piston callipers","245 mm disc, 2-piston calliper",Fully adjustable BPF Showa forks. 43 mm chromed inner tubes,Fully adjustable Sachs unit. Aluminum double-sided swingarm,NaN,Digital,Digital,Digital,Digital,1
144,Ducati,Ducati Sportclassic,"
₹ 10,75,000
",discontinued,Sports,Petrol,"992cc, L-Twin",NaN,Air Cooling,992 cc,92 Bhp @ 8000 rpm,93 Nm @ 6000 rpm,2,NaN,NaN,NaN,NaN,NaN,1425.00 mm,185.00 kg,15.00 litres,94 mm,71.5 mm,6,Wet multiplate with hydraulic control,NaN,"2 x 320 mm semi-floating discs, floating caliper 2","245 mm disc, 1-piston floating caliper, 2- sintere",43 mm upside-down fork,Twin preload adjustable shock absorbers,NaN,Analogue,Analogue,Analogue-2,NaN,1
145,Ducati,Ducati Streetfighter,"
₹ 15,40,000 - ₹ 22,81,000
",discontinued,Naked,Petrol,"Testastretta 11° L-Twin, 4 Desmodromically actuated valves per cylinder, Liquid cooled","Marelli electronic fuel injection, elliptical throttle bodies",Liquid Cooling,849 cc,130 Bhp @ 10000 rpm,93.5 Nm @ 9500 rpm,2,NaN,NaN,NaN,840 mm,167 mm,1475 mm,199 kg,16.5 litres,94 mm,61.2 mm,6,Wet multiplate with hydraulic control,NaN,"2 x 320mm semi-floating discs, radially mounted Brembo callipers 4-piston, 2-pad","245mm disc, 2-piston calliper",Marzocchi 43mm fully adjustable usd forks,Progressive linkage with fully adjustable monoshock. Aluminium single-sided swingarm,3.5 secs,Digital,Digital,Digital,NaN,1
146,Ducati,Ducati Superbike (2010),"
₹ 12,20,000 - ₹ 24,66,000
",discontinued,Superbike,Petrol,849.4cc,NaN,Liquid Cooling,849.4 cc,134 Bhp @ 10000 rpm,96 Nm @ 8250 rpm,2,NaN,NaN,NaN,NaN,NaN,1430.00 mm,168.00 kg,15.50 litres,94 mm,61.2 mm,6,NaN,NaN,Liquid Cooling,245 mm Disc,Showa 43 mm fully adjustable upside-down fork,Progressive linkage with fully adjustable Showa monoshock. Aluminium single-sided swingarm,NaN,Digital,Analogue,Digital-1,NaN,1
147,Ducati,Ducati Superbike (2013),"
₹ 39,10,000
",discontinued,Sports,NaN,L-twin cylinder,NaN,Liquid Cooling,1198 cc,195 Bhp @ 10750 rpm,132 Nm @ 9000 rpm,NaN,NaN,NaN,NaN,NaN,NaN,1437.00 mm,188.00 kg,17.00 litres,112 mm,60.8 mm,6 Speed,Self-servo wet multiplate,NaN,2 x 330mm semi-floating discs,"245mm disc, 2-piston calliper",Marzocchi 50mm pressurized,Fully adjustable Sachs unit,3.50 secs,Digital,Digital,Digital-2,NaN,1
148,Eastman,Eastman ET100,"
NA
",available,Commuter,NaN,96cc,NaN,Air Cooling,96 cc,6.2 Bhp @ 8200 rpm,6.2 Nm @ 6500 rpm,NaN,1945.00 mm,750.00 mm,1000.00 mm,NaN,NaN,1330.00 mm,118.00 kg,10.00 litres,50 mm,49.5 mm,4 Speed,NaN,NaN,Drum,Drum,NaN,NaN,NaN,Analogue,None,None,NaN,1
149,Eastman,Eastman ET110,"
NA
",available,Moped,NaN,107cc,NaN,Air Cooling,107 cc,7 Bhp @ 8000 rpm,7.2 Nm @ 5000 rpm,NaN,1910.00 mm,690.00 mm,1075.00 mm,NaN,NaN,1250.00 mm,NaN,4.50 litres,52.4 mm,49.5 mm,4 Speed,NaN,NaN,Drum,Drum,NaN,NaN,NaN,Analogue,None,None,NaN,0
150,Eastman,Eastman ET125,"
NA
",available,Commuter,NaN,124cc,NaN,Air Cooling,124 cc,9.5 Bhp @ 9000 rpm,8.2 Nm @ 7500 rpm,NaN,2105.00 mm,730.00 mm,1090.00 mm,NaN,NaN,1320.00 mm,109.00 kg,10.00 litres,56.5 mm,49.5 mm,5 Speed,NaN,NaN,Disc,Drum,NaN,NaN,NaN,Analogue,None,None,NaN,1
151,Eastman,Eastman ET150,"
NA
",available,Scooterette,NaN,149.6cc,NaN,Air Cooling,149.6 cc,7.5 Bhp @ 7000 rpm,7.5 Nm @ 4000 rpm,NaN,1995.00 mm,650.00 mm,1085.00 mm,NaN,NaN,1410.00 mm,100.00 kg,9.00 litres,57.4 mm,57.8 mm,Automatic,NaN,NaN,Disc,Drum,NaN,NaN,NaN,Analogue,None,None,NaN,1
152,Eastman,Eastman ET200,"
NA
",available,Sports,NaN,193cc,NaN,Air Cooling,193 cc,15.5 Bhp @ 8500 rpm,15.5 Nm @ 6000 rpm,NaN,2050.00 mm,720.00 mm,1105.00 mm,NaN,NaN,1310.00 mm,130.00 kg,15.00 litres,63 mm,62 mm,5 Speed,NaN,NaN,Disc,Drum,NaN,NaN,NaN,Analogue,None,None,NaN,1
153,Eastman,Eastman ET250,"
NA
",available,Cruiser,NaN,233.7cc,NaN,Air Cooling,233.7 cc,15 Bhp @ 8500 rpm,14.5 Nm @ 5500 rpm,NaN,2250.00 mm,830.00 mm,1360.00 mm,NaN,NaN,1510.00 mm,155.00 kg,12.00 litres,53 mm,53 mm,5 Speed,NaN,NaN,Disc,Drum,NaN,NaN,NaN,Analogue,None,None,NaN,1
154,Eastman,Eastman ET50,"
NA
",available,Moped,NaN,49cc,NaN,Air Cooling,49 cc,3.3 Bhp @ 7500 rpm,3.2 Nm @ 5500 rpm,NaN,1800.00 mm,700.00 mm,1030.00 mm,NaN,NaN,1210.00 mm,NaN,5.00 litres,39 mm,41.4 mm,4 Speed,NaN,NaN,Drum,Drum,NaN,NaN,NaN,Analogue,None,None,NaN,0
155,Eastman,Eastman ET70,"
NA
",available,Moped,NaN,72cc,NaN,Air Cooling,72 cc,5.1 Bhp @ 8000 rpm,5.6 Nm @ 5500 rpm,NaN,1800.00 mm,700.00 mm,980.00 mm,NaN,NaN,1210.00 mm,NaN,5.00 litres,47 mm,41.4 mm,4 Speed,NaN,NaN,Drum,Drum,NaN,NaN,NaN,Analogue,None,None,NaN,0
156,Eastman,Eastman ET90,"
NA
",available,Moped,NaN,86cc,NaN,Air Cooling,86 cc,5.2 Bhp @ 7000 rpm,4.7 Nm @ 7000 rpm,NaN,1910.00 mm,655.00 mm,1060.00 mm,NaN,NaN,1210.00 mm,NaN,5.00 litres,47 mm,49.5 mm,4 Speed,NaN,NaN,Drum,Drum,NaN,NaN,NaN,Analogue,None,None,NaN,0
157,EBike,EBike Brenda,"
NA
",available,Scooterette,NaN,Brushless Motor,NaN,NaN,NaN,240W,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Automatic,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Analogue,None,None,NaN,1
158,EBike,EBike Linda,"
NA
",available,Scooterette,NaN,Brushless Motor,NaN,NaN,NaN,240W,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Automatic,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Analogue,None,None,NaN,1
159,EBike,EBike QQ,"
NA
",available,Scooterette,NaN,Brushless Motor,NaN,NaN,NaN,240W,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Automatic,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Analogue,None,None,NaN,1
160,EBike,EBike Work Horse,"
NA
",available,Scooterette,NaN,Brushless Motor,NaN,NaN,NaN,240W,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Automatic,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Analogue,None,None,NaN,1
161,EeVe,EeVe Electric Scooter,"
NA
",available,Scooter,Electric,All Electric,NaN,NaN,NaN,NaN,NaN,NaN,1804 mm,730 mm,1090 mm,NaN,NaN,1350 mm,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Disc,Disc,Telescopic Hydraulic,NaN,NaN,Digital,NaN,NaN,NaN,NaN
162,Eider,Eider 650,"
₹ 3,37,130
",available,Naked,Petrol,"Liquid-cooled twin-cylinder DOHC unit with eight valves, 180-degree crankshaft, chain camshaft drive and single gear-driven counter balancer",EFI,Liquid Cooling,649.3 cc,"56 BHP @ 9,500 rpm","62 NM @ 7,000 rpm",2,2120 mm,780 mm,1100 mm,795 mm,150 mm,1415 mm,203 kg,17 litres,83 mm,60 mm,6,NaN,NaN,Dual 300 mm steel disc brakes with twin-piston calipers,240 mm steel disc brake with a single-piston caliper,41 mm Kayaba conventional fork,Kyaba cantilever monoshock,NaN,1,1,1,1,1
163,Eider,Eider Dave,"
₹ 1,34,850
",available,Naked,Petrol,"Single Cylinder, SOHC, Liquid-cooled",EFI,Liquid,149.4 cc,14.34 BHP @ 9000 rpm,12.2 NM @ 6800 rpm,1,2025 mm,770 mm,1070 mm,785 mm,150 mm,1360 mm,142 kg,10 litres,57.0 mm,58.6 mm,6,Wet multi-plate,NaN,292mm steel disc with twin-piston caliper,220mm disc with single-piston caliper,Inverted forks,"Mid positioned, single",NaN,Digital,Analog,Digital,NaN,1
164,Eider,Eider Dronzer,"
₹ 77,000
",available,Commuter,Petrol,"Single cylinder, 4-stroke, Air cooled",NaN,Air-cooled,149 cc,11.3 Bhp @ 8000rpm,NaN,1,1980 mm,700 mm,1080 mm,NaN,160 mm,NaN,125 kg,13 litres,NaN,NaN,5,NaN,NaN,Disc,Disc,Telescopic Upside down front Suspension,Mono Suspension,NaN,NaN,NaN,NaN,NaN,1
165,Eider,Eider Etania,"
₹ 67,500
",available,Commuter,Petrol,"Single cylinder, 4-stroke, Air cooled",NaN,NaN,149.8 cc,11.3 Bhp @ 8000 rpm,NaN,1,1990 mm,785 mm,1050 mm,NaN,170 mm,NaN,125 kg,12.8 litres,NaN,NaN,5,NaN,NaN,Disc,Drum,Telescopic fork,Hydraulic,NaN,NaN,NaN,NaN,NaN,1
166,Eider,Eider Leora,"
₹ 49,500
",available,Scooter,Petrol,"Single Cylinder, 4 Stroke,Air cooled",NaN,NaN,124.6 cc,7.3 Bhp @ 7500 rpm,NaN,1,1970 mm,700 mm,1120 mm,NaN,110 mm,1290 mm,110 kg,6 litres,NaN,NaN,Automatic,NaN,NaN,Disc,Drum,Hydraulic,Swing Arm with Dual Shock,NaN,NaN,NaN,NaN,NaN,1
167,Eider,Eider Police,"
₹ 4,00,000
",available,Touring,Petrol,"2-Cylinder, 8-Valve, 4 Stroke, DOHC, Liquid-cooled, EFI",Fuel Injection,Liquid,649.3 cc,60.34 BHP @ 8500 rpm,56 NM @ 7000 rpm,2,2145' mm,820 mm,1290 mm,795 mm,140 mm,1415 mm,220 kg,17.5 litres,83 mm,60 mm,6,NaN,NaN,Hydraulic Disc,Hydraulic Disc,Retractable Type,Cantilever Type,NaN,1,1,1,1,1
168,Eider,Eider Ruddy,"
₹ 54,200
",available,Cruiser,Petrol,"Single cylinder, 4 stroke, Air Cooled",NaN,NaN,149 cc,11.2 Bhp @ 8500 rpm,NaN,1,2100 mm,840 mm,1100 mm,NaN,NaN,1390 mm,120 kg,12.8 litres,NaN,NaN,5,NaN,NaN,Disc,Drum,Telescopic Fork,Hydraulic,NaN,NaN,NaN,NaN,NaN,1
169,Eider,Eider Stoic,"
₹ 49,000
",available,Commuter,Petrol,"Single Cyliner, 4 Stroke, Air cooled",NaN,Air-Cooled,107.6 cc,7.3 Bhp @ 8000 rpm,NaN,1,1990 mm,780 mm,1020 mm,NaN,165 mm,NaN,105 kg,11.6 litres,NaN,NaN,4,NaN,NaN,Drum,Drum,Telescopic Fork,Hydraulic,NaN,NaN,NaN,NaN,NaN,1
170,EKO,EKO Cosmic,"
NA
",available,Scooterette,NaN,Batteries,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Automatic,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Analogue,None,None,NaN,1
171,EKO,EKO ET,"
NA
",available,Scooterette,NaN,Petrol+Electric,NaN,Air Cooling,70 cc,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Automatic,NaN,NaN,Drum,Drum,Telescopic,Telescopic,NaN,Analogue,None,None,NaN,0
172,EKO,EKO EV,"
NA
",available,Scooterette,NaN,Batteries,NaN,NaN,NaN,"800 Watts, 60 Volts.",NaN,NaN,1670.00 mm,650.00 mm,1090.00 mm,NaN,105.00 mm,NaN,NaN,NaN,NaN,NaN,Automatic,NaN,NaN,Disc,Drum,Telescopic Hydraulic,Hydraulic,NaN,Analogue,None,None,NaN,0
173,Enigma,Enigma Crescent,"
NA
",available,Scooterette,NaN,"PMBLDC, <250 Watts Motor",NaN,NaN,NaN,NaN,NaN,NaN,1780.00 mm,680.00 mm,1020.00 mm,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Automatic,NaN,NaN,Drum - 110 mm,Drum - 110 mm,Telescopic,NaN,NaN,Analogue,None,None,NaN,1
174,Enigma,Enigma Intense,"
NA
",available,Scooterette,NaN,"BLDC, <250 Watts 48V Motor",NaN,NaN,NaN,NaN,NaN,NaN,1800.00 mm,650.00 mm,1020.00 mm,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Automatic,NaN,NaN,Drum - 80 mm,Drum - 110 mm,Telescopic,NaN,NaN,Analogue,None,None,NaN,1
175,Enigma,Enigma Muscular,"
NA
",available,Scooterette,NaN,"BLDC, <250 Watts 48V Motor",NaN,NaN,NaN,NaN,NaN,NaN,1800.00 mm,650.00 mm,1020.00 mm,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Automatic,NaN,NaN,Drum - 80 mm,Drum - 110 mm,Telescopic,NA,NaN,Analogue,None,None,NaN,1
176,Ennes,Ennes Green,"
NA
",available,Scooterette,NaN,Electric,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Automatic,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Analogue,None,None,NaN,0
177,EV Future,EV Future AVF,"
NA
",available,Moped,NaN,"36 Volt, DC Motor",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Automatic,NaN,NaN,NaN,NaN,NaN,NaN,NaN,None,None,None,NaN,1
178,Evo,Evo Elegant,"
NA
",available,Scooterette,NaN,Brushless DC <250 Watts,NaN,NaN,NaN,NaN,NaN,NaN,1920.00 mm,680.00 mm,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Automatic,NaN,NaN,NaN,NaN,Telescopic,Double rated coil Spring,NaN,Analogue,None,None,NaN,1
179,Evo,Evo Exult,"
NA
",available,Scooterette,NaN,Brushless DC <250 Watts,NaN,NaN,NaN,NaN,NaN,NaN,1850.00 mm,620.00 mm,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Automatic,NaN,NaN,NaN,NaN,Telescopic,Double rated coil Spring,NaN,Analogue,None,None,NaN,1
180,Evolet,Evolet Derby Electric Scooter,"
₹ 46,499 - ₹ 59,999
",available,Scooter,Electric,All Electric,NaN,NaN,NaN,350 Watt,NaN,NaN,1800 mm,550 mm,780 mm,750 mm,160 mm,NaN,82 kg,NaN,NaN,NaN,NaN,NaN,NaN,Disc,Disc,Hydraulic Telescopic,Double Shocker with Dual Tube Technology,NaN,Digital,NaN,NaN,NaN,NaN
181,Evolet,Evolet Electric Quad Bike,"
₹ 1,40,000
",available,Quad Bike,Electric,All-Electric,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
182,Evolet,Evolet Polo Electric Scooter,"
₹ 44,499 - ₹ 54,499
",available,Scooter,Electric,All-Electric,NaN,NaN,NaN,350 Watt,NaN,NaN,1800 mm,550 mm,780 mm,750 mm,160 mm,NaN,82 kg,NaN,NaN,NaN,NaN,NaN,NaN,Disc,Disc,Hydraulic Telescopic,Double Shocker with Dual Tube Technology,NaN,Digital,NaN,NaN,NaN,NaN
183,Evolet,Evolet Pony Electric Scooter,"
₹ 39,499 - ₹ 49,499
",available,Scooter,Electric,NaN,NaN,NaN,NaN,350 Watt,NaN,NaN,1800 mm,550 mm,780 mm,750 mm,160 mm,NaN,82 kg,NaN,NaN,NaN,NaN,NaN,NaN,Disc,Disc,Hydraulic Telescopic,Double Shocker with Dual Tube Technology,NaN,Digital,NaN,NaN,NaN,NaN
184,FAB Regal Raptor,FAB Regal Raptor Bobber,"
₹ 3,33,000
",available,Cruiser,Petrol,"320cc, Water-Cooled, 4-Stroke, 2-Cylinder, Fuel Injection",NaN,NaN,320 cc,22.8 BHP @ 8500 rpm,22 NM @ 6500 rpm,2,2400 mm,880 mm,1150 mm,NaN,160 mm,1670 mm,165 kg,14 litres,62 mm,53 mm,5,Oil-bathing multi-plate clutch,NaN,300mm Front Disc Brake,240mm Rear Disc Brake,Telescopic Hydraulic Shock Absorbers,Telescopic Hydraulic Shock Absorbers,NaN,NaN,NaN,NaN,NaN,1
185,FAB Regal Raptor,FAB Regal Raptor Cruiser,"
₹ 2,96,000
",available,Cruiser,Petrol,"320cc, Water cooled, 4-stroke twin cylinder , fuel injection",NaN,NaN,320 cc,22.8 BHP @ 8500 rpm,22 NM @ 6500 rpm,2,2280 mm,900 mm,1080 mm,NaN,140 mm,1570 mm,180 kg,14 litres,62 mm,53 mm,5,Oil-bathing multi-plate clutch,NaN,300mm Front Disc Brake,240mm Rear Disc Brake,Telescopic Hydraulic Shock Absorbers,Telescopic Hydraulic Shock Absorbers,NaN,NaN,NaN,NaN,NaN,1
186,FAB Regal Raptor,FAB Regal Raptor Daytona,"
₹ 3,22,000
",available,Cruiser,Petrol,"320cc, Water-Cooled, 4-Stroke, 2-Cylinder, Fuel Injection",Fuel Injection,NaN,320 cc,22.8 BHP @ 8500 rpm,22 NM @ 6500 rpm,2,2280 mm,895 mm,1110 mm,NaN,140 mm,1570 mm,180 kg,15 litres,62 mm,53 mm,5,Oil-bathing multi-plate clutch,NaN,300mm Front Disc Brake,240mm Rear Disc Brake,Telescopic Hydraulic Shock Absorbers,Telescopic Hydraulic Shock Absorbers,NaN,NaN,NaN,NaN,NaN,1
